,user_id,item_id,cat_id,cat1,buy_mount,day
0,786295544,41098319944,50014866,50022520,2,2020/9/19
1,532110457,17916191097,50011993,28,1,2019/10/11
2,249013725,21896936223,50012461,50014815,1,2019/10/11
3,917056007,12515996043,50018831,50014815,2,2020/10/23
4,444069173,20487688075,50013636,50008168,1,2020/11/3
5,152298847,41840167463,121394024,50008168,1,2020/11/3
6,513441334,19909384116,50010557,50008168,1,2018/12/12
7,297411659,13540124907,50010542,50008168,1,2018/12/12
8,82830661,19948600790,50013874,28,1,2018/11/1
9,475046636,10368360710,203527,28,1,2018/11/1
10,734147966,15307958346,50018202,38,2,2018/11/1
11,68547330,21162876126,50012365,122650008,1,2018/11/23
12,697081418,15898050723,50013636,50008168,1,2018/11/23
13,377550424,15771663914,50015841,28,1,2018/11/23
14,88313935,22532727492,50013711,50008168,1,2019/10/5
15,25918750,16078389250,50012359,122650008,1,2019/10/5
16,350288528,35086271572,50010544,50008168,1,2019/11/29
17,348090113,17436967558,50009540,50014815,1,2019/11/29
18,1635282280,36153356431,50013207,50008168,1,2019/11/29
19,530850018,22058239899,50024147,28,1,2020/2/10
20,749507708,19171641742,50018860,28,1,2020/2/10
21,201088567,38564176352,50013207,50008168,1,2020/5/2
22,469517728,8232924597,211122,38,6,2020/5/2
23,691367866,17712372914,121434042,50014815,1,2020/8/4
24,77193822,35537441586,50006520,50014815,2,2020/8/4
25,605678021,15502618744,50010555,50008168,1,2019/2/26
26,47702620,26481508332,121412034,50014815,1,2020/9/18
27,763560371,40945285800,50012365,122650008,1,2021/2/1
28,408028533,35838498718,50012442,50008168,1,2020/10/9
29,53566371,27177784760,121394024,50008168,1,2020/10/9
30,69873877,40133707057,50010555,50008168,1,2020/10/17
31,1609185254,42001753405,121394024,50008168,1,2020/12/28
32,1746148145,41181827319,50012365,122650008,1,2020/12/28
33,256475742,39059292616,121452056,50008168,1,2020/7/11
34,405194127,15462429573,50007011,50008168,1,2018/8/19
35,938309370,14149079479,50023669,28,1,2018/8/19
36,84258337,14653740604,50016704,50022520,1,2018/8/19
37,14466144,17610665576,50011993,28,1,2019/3/27
38,177724549,14228645401,50018824,38,1,2019/3/27
39,727823869,39674261411,121466023,50008168,2,2020/8/13
40,659020106,40484992676,50011993,28,1,2020/8/13
41,46277938,40070019945,50006602,50008168,1,2020/8/13
42,827091396,18678458676,50010566,50008168,1,2020/9/11
43,18100946,38451267766,121540027,28,1,2020/9/11
44,725813399,40519533209,50010544,50008168,1,2020/9/11
45,1054852159,19063296909,50006235,50008168,2,2020/7/3
46,262519726,19051046285,121398041,28,1,2020/7/3
47,87207277,14234909614,121470030,50014815,1,2020/7/3
48,1053602675,20252281923,50013636,50008168,1,2020/2/20
49,103125167,18426669796,50018438,50014815,16,2020/2/20
50,886492677,19668429343,50016704,50022520,1,2020/6/28
51,115566151,14778919435,50013187,28,1,2020/1/13
52,55544814,4917672059,50015727,50014815,4,2019/11/6
53,1714403831,22443564698,50014129,28,1,2019/11/6
54,723975586,8096949165,50023591,50022520,1,2018/9/11
55,66451440,9258781845,50013636,50008168,1,2018/9/11
56,47342027,14066344263,50013636,50008168,1,2018/9/11
57,354780072,17851314047,50016704,50022520,1,2019/7/25
58,1660751516,12496195786,50024842,50008168,2,2019/7/25
59,1981826945,40793811285,50010538,50008168,1,2021/1/8
60,61003275,36738992094,50018831,50014815,3,2021/1/8
61,848482116,42178787281,50010538,50008168,1,2021/1/19
62,405014302,43130926446,50012777,50014815,1,2021/1/19
63,806635728,38985185626,121452056,50008168,1,2020/6/15
